
> mls@1.0.0 dev
> ts-node src/server.ts

[STARTUP] MLS Core API v2 (Edit Listing Enabled) running on port 3001
[2026-02-03T21:10:53.998Z] GET /health
[2026-02-03T21:11:11.750Z] GET /
[2026-02-03T21:12:39.166Z] GET /
[2026-02-03T21:12:53.428Z] GET /
[2026-02-03T21:13:10.548Z] GET /
[2026-02-03T21:14:39.637Z] GET /
[2026-02-03T21:14:45.285Z] GET /
[2026-02-03T21:14:50.046Z] GET /
[2026-02-03T21:16:30.273Z] GET /
